username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
tspascoal;2017-06-07 16:10;0;0;"a piada está feita.... ";;;#ironia;"872546242110337029";https://twitter.com/tspascoal/status/872546242110337029
AdrianaGPaz1;2017-06-07 16:06;0;1;"Nossa,  qualquer coisa é um escândalo. ..Foi uma carona inocente.";;;#Ironia;"872545362380288003";https://twitter.com/AdrianaGPaz1/status/872545362380288003
lcgfreitas;2017-06-07 13:50;0;0;"Usou um avião de graça e nem quis saber de quem era? Como é descuidado esse Temer... ";;;#ironia;"872511029284147200";https://twitter.com/lcgfreitas/status/872511029284147200
AdrianaGPaz1;2017-06-07 13:37;0;0;"Bah, tem que saber tudo, foi só uma carona,  não foi um noivado. ..";;;#Ironia;"872507807144214536";https://twitter.com/AdrianaGPaz1/status/872507807144214536
GersonPLeal;2017-06-07 13:31;0;0;"Nem desconfiava..BandapodrePolícia cobrava propina de R$ 500 mil ao mês e R$ 1 milhão para uso de caveirão";;;#ironia #Bandapodre;"872506288533536773";https://twitter.com/GersonPLeal/status/872506288533536773
AdrianaGPaz1;2017-06-07 13:19;0;0;"Ai gentes, que ditadura da informação, tem que saber quem é,  dono do que,  a origem...Foi somente uma carona.Dose cavalar de ";;;#Ironia;"872503389376139265";https://twitter.com/AdrianaGPaz1/status/872503389376139265
LeonorVeiga93;2017-06-07 10:24;0;0;"E a Sic é que diz? Sem nenhum interesse por trás não é mesmo   Política é muito mais do que vemos  ";;;#ironia;"872459182741610496";https://twitter.com/LeonorVeiga93/status/872459182741610496
Cyber_Woo;2017-06-07 08:01;0;0;"5 MOTIVOS PARA AMAR O BRASIL:  Old Corrupção  Brasil";;;#Old #Corrup #Ironia #Brasil;"872423219004932098";https://twitter.com/Cyber_Woo/status/872423219004932098
ccz1;2017-06-07 03:01;0;1;"A Autoridade da Concorrėncia e a Comissária permitem q o Santander compr o Popular? Para q existem entåo? ";;;#ironia;"872347782878818305";https://twitter.com/ccz1/status/872347782878818305
Andre_Stein;2017-06-07 00:38;0;0;", só eu percebi assim?";;;#ironia;"872311777320718336";https://twitter.com/Andre_Stein/status/872311777320718336
Sandrini_Leo;2017-06-06 20:37;0;0;"se não acenderem sinalizadores a gente ganha amanhã, relaxa ";;;#ironia;"872251075834892289";https://twitter.com/Sandrini_Leo/status/872251075834892289
Mauhoro;2017-06-06 20:27;6;30;"Ajuda bastante a rir mointow!  ";;;#ironia;"872248542932471808";https://twitter.com/Mauhoro/status/872248542932471808
AdrianaGPaz1;2017-06-06 19:15;0;0;"Este nome devia me lembrar alguém. ..";;;#Ironia;"872230529873195008";https://twitter.com/AdrianaGPaz1/status/872230529873195008
SuperSportCR;2017-06-06 17:49;0;2;"Lamentável você, hein... divulgou um artigo da CRFB/88 que ninguém conhecia, apenas você, para prejudicar o Sport? ";;;#Ironia;"872208901055418368";https://twitter.com/SuperSportCR/status/872208901055418368
brunoarruda;2017-06-06 17:23;0;2;"Hahaha sempre tem um né? Tem q ficar colocando  nos posts";;;#ironia;"872202207139180544";https://twitter.com/brunoarruda/status/872202207139180544
zenasciment0;2017-06-06 14:38;0;0;"não vai acontecer pq sabemos q a cbf mandaria jogar até se fosse em são sebastião do caí mas fica aí um cenário em tom de ";;;#ironia;"872160800814882816";https://twitter.com/zenasciment0/status/872160800814882816
vitoriakalil;2017-06-06 09:14;0;0;"Mas terrorista néra só muçulmano?  - aos leigos ";;;#ironia;"872079277776416768";https://twitter.com/vitoriakalil/status/872079277776416768
andersontenorio;2017-06-06 08:35;0;1;"não pô, ditadura é só em cuba .";;;#ironia;"872069402329583622";https://twitter.com/andersontenorio/status/872069402329583622
DilaComments;2017-06-06 08:28;7;35;"Tá explicado a chuva em São Paulo, a Emilly que mandou, pq o SOL não pode ofuscar o seu brilho. ";;;#Ironia;"872067779377209345";https://twitter.com/DilaComments/status/872067779377209345
dryko77;2017-06-06 07:13;0;1;"ESSA LAVA JATO SO FAZ MERDA NENÃO?????";;;#IRONIA;"872048853092102144";https://twitter.com/dryko77/status/872048853092102144
ErickMentales;2017-06-06 01:33;1;0;"se uma mulher usa óculos,ela automaticamente vira uma atriz pornô ";;;#ironia;"871963347461296129";https://twitter.com/ErickMentales/status/871963347461296129
_jsccp;2017-06-05 23:17;0;0;"Tudo q eu postar a partir de hj q for ironia ou sarcasmo eu vou colocar  ou ";;;#ironia #sarcasmo;"871928892432539648";https://twitter.com/_jsccp/status/871928892432539648
MilleVilela;2017-06-05 22:46;0;1;"Quebrando tabu é um lugar bem legal pra se informar sobre política  ";;;#ironia;"871921201366609921";https://twitter.com/MilleVilela/status/871921201366609921
AnitterSamyra;2017-06-05 20:12;0;0;" mto obg por responder Tds os meus tt's , amo vc ParadinhaStreamSparty";;@Anitta;#Ironia #ParadinhaStreamSparty;"871882497717612545";https://twitter.com/AnitterSamyra/status/871882497717612545
m_andrade86;2017-06-05 14:45;0;0;"Tem teu dedo ai né São Judas?! Tá mais pra milagre do que papo! ";;;#ironia;"871800161042870273";https://twitter.com/m_andrade86/status/871800161042870273
almino;2017-06-05 13:39;0;0;"PSDB é o principal partido da base aliada e foi quem demandou a ação no TSE que pode derrubar o presidente MelhoraBrasil ";;;#MelhoraBrasil #Ironia;"871783514844389376";https://twitter.com/almino/status/871783514844389376
henrigfbpa;2017-06-05 12:13;0;0;"vamo perde pro time que fica só no cheirinho ";;;#ironia;"871762005295849476";https://twitter.com/henrigfbpa/status/871762005295849476
kicha;2017-06-05 11:48;0;0;"É que no Inter estão os maiores entendidos de preparação física no mundo. ";;;#ironia;"871755632956903425";https://twitter.com/kicha/status/871755632956903425
LafereFla;2017-06-05 10:00;0;0;"Achei que a vontade do jogador prevalecia antes de qualquer venda, mas acho que me enganei.. ";;;#ironia;"871728370819764225";https://twitter.com/LafereFla/status/871728370819764225
_Lenev;2017-06-05 09:50;0;0;"Espero que as pessoas que me devem nunca precisem de dinheiro como estou precisando.... ";;;#ironia;"871725800684433408";https://twitter.com/_Lenev/status/871725800684433408
Super_Int_PT;2017-06-05 07:33;0;0;"18 ilustrações satiricas sobre o mundo atual PawelKuczynski  satira imagens imagensinteressantes ";;;#PawelKuczynski #satira #imagens #imagensinteressantes #ironia;"871691472374026240";https://twitter.com/Super_Int_PT/status/871691472374026240
tatokawamoto;2017-06-04 22:46;0;0;"obrigado por se pronunciarem ";;;#ironia;"871558891473129472";https://twitter.com/tatokawamoto/status/871558891473129472
aitor_c;2017-06-04 20:27;0;0;"Aproximadamente 300 mil € para el Ramadan...  e hipocresia modo on... StopIslam";;;#Ramadan #Ironia #hipocresia #StopIslam;"871523904967368704";https://twitter.com/aitor_c/status/871523904967368704
quagliato;2017-06-04 19:32;0;0;"Tenho que agradecer esse. Ao mesmo tempo ele provou que a terra não é plana e que o dilúvio não aconteceu.  ";;;#ironia;"871510120949096448";https://twitter.com/quagliato/status/871510120949096448
kadu_1979;2017-06-04 18:50;0;3;"Uiiii "tenta ser oq Hitler foi". Lacrou com esse argumento.  ";;;#ironia;"871499487566581761";https://twitter.com/kadu_1979/status/871499487566581761
coriolano_r;2017-06-04 16:56;0;1;"Agora vai... realmente excelente contratação. ";;;#ironia;"871470746815561729";https://twitter.com/coriolano_r/status/871470746815561729
rafaelburity;2017-06-04 12:25;0;0;"Será? ";;;#ironia;"871402511529373696";https://twitter.com/rafaelburity/status/871402511529373696
AdrianaGPaz1;2017-06-04 10:17;0;4;"Será que isto pode comprometer a aprendizagem das crianças? ??Vou consultar uns RENOMADOS especialistas. Dose cavalar de  ";;;#Ironia;"871370291720724480";https://twitter.com/AdrianaGPaz1/status/871370291720724480
Sanutooo;2017-06-04 00:35;1;0;"Fiquei com mt dó do aldo. Kkkkkkk ";;;#ironia;"871223902860701696";https://twitter.com/Sanutooo/status/871223902860701696
OliveiraTina;2017-06-03 23:27;0;0;"De 5 apostilas eu consegui ler 1.. Oh tô progredindo! ";;;#ironia;"871206743619063808";https://twitter.com/OliveiraTina/status/871206743619063808
pretoofosco;2017-06-03 20:45;3;14;"E vc tbm tava certo  ";;;#ironia;"871165985599913985";https://twitter.com/pretoofosco/status/871165985599913985
Buzano_Spfc;2017-06-03 20:43;0;0;"Inclusive lembro que todos vcs da imprensa avisaram da jóia que tínhamos em mão ";;;#ironia;"871165555717419008";https://twitter.com/Buzano_Spfc/status/871165555717419008
gopal633as;2017-06-03 20:41;0;2;"E você está fazendo oque na época?  Olheiro descobridor de jóias do futebol ";;;#Ironia;"871165086806704130";https://twitter.com/gopal633as/status/871165086806704130
BLOGDOMENON;2017-06-03 20:36;12;50;"Sobre Casemiro: Leão, Juvenal, Ney Franco e Carpeggiani gênios. Torcida estava  certa. Real Madri e Casemiro estavam errados. ";;;#ironia;"871163828842762242";https://twitter.com/BLOGDOMENON/status/871163828842762242
migueleduf;2017-06-03 17:10;0;2;"Estou na fila para doar alimentos para o banco alimentar contra a fome. Porém contudo estou a morrer de fome na fila ";;;#ironia;"871111971541831680";https://twitter.com/migueleduf/status/871111971541831680
drakoporcento;2017-06-03 16:40;1;24;"CAP vai precisar mtu pra bater de frente com o Real mas dá... Rs";;;#ironia;"871104336432173056";https://twitter.com/drakoporcento/status/871104336432173056
r_enanlima;2017-06-03 16:16;0;0;"Cr7 é um Fred só que mais bonito, o cara da dois chute dois gols  ChampionsLeague";;;#ironia #ChampionsLeague;"871098359955804160";https://twitter.com/r_enanlima/status/871098359955804160
_lipito_;2017-06-03 16:13;0;0;"Num espaço de 6 meses foram-me nova a traseira do meu querido clássico!  do destino a mesma companhia de seguros.";;;#ironia;"871097436164501505";https://twitter.com/_lipito_/status/871097436164501505
mpbispo;2017-06-03 13:28;0;0;"Quem será que vai enfrentar o  na final do mundial de Clubes? cardiff2017";;@BotafogoOficial;#ironia #cardiff2017;"871055927306334208";https://twitter.com/mpbispo/status/871055927306334208
DepreBahea;2017-06-03 12:39;2;4;"Em um plano sórdido de Régis e seu empresário p/ir p/inter, adulteraram o examecom conivência dos médicos, simulando a lesão..";;;#Ironia;"871043661026537476";https://twitter.com/DepreBahea/status/871043661026537476
krikang;2017-06-03 09:38;0;0;"A mina tirou o chiclete da boca do cara para jogar fora pq ele nao tem capacidade de levantar a bunda da cadeira. ";;;#ironia;"870998078723158016";https://twitter.com/krikang/status/870998078723158016
edu_rsilva;2017-06-03 08:34;0;0;"Tem toda a razão, tendo em vista que ele não fez nada de errado e está sendo injustiçado. ";;;#Ironia;"870981937384624130";https://twitter.com/edu_rsilva/status/870981937384624130
MiguelEcaMatos;2017-06-03 07:08;0;0;"Este brinquedo é perigosissimo  ";;;#ironia;"870960466608222208";https://twitter.com/MiguelEcaMatos/status/870960466608222208
tatiana_mareto;2017-06-03 06:38;0;2;"A culpa é do sol, é o sol que anda esquentando a Terra, nada a ver com nossa ação degradante sobre ela, claro! ";;;#ironia;"870952806890557440";https://twitter.com/tatiana_mareto/status/870952806890557440
Boka_Jrs;2017-06-02 20:00;0;1;"Queluz/SP Quadrilinha SPFC 2013 em branco, 14,15 em branco, 16 idem ...2017 a história se repete!ParabensAosEnvolvidos ";;;#Quadrilinha #ParabensAosEnvolvidos #ironia;"870792355208626176";https://twitter.com/Boka_Jrs/status/870792355208626176
medeirovski;2017-06-02 19:07;0;1;"tou com a replica da camisa da seleção da união soviética de 1892 e é produzida pela adidas heheheh  liberalismo mises likes4likes";;;#ironia #liberalismo #mises #likes4likespic;"870778837784813569";https://twitter.com/medeirovski/status/870778837784813569
dede89nf;2017-06-02 17:46;0;2;"deve ser pq na posição deles tem jogadores que estão muito bem tipo Vaz, M. Araujo, Muralha e por ai ";;;#ironia;"870758654273781761";https://twitter.com/dede89nf/status/870758654273781761
michaelsep_;2017-06-02 12:27;2;11;"se o Geh Palestra disse ngm duvida o homem vem mesmo  ";;;#ironia;"870678296681340928";https://twitter.com/michaelsep_/status/870678296681340928
AndreManentii;2017-06-02 10:49;0;6;"Menos eu, que além de lindo, simpático, didático, e humilde, sou um ÓTIMO jogador.humor  autoraio";;;#humor #ironia #autoraiohttps;"870653591597527040";https://twitter.com/AndreManentii/status/870653591597527040
EsthefaneCF;2017-06-02 09:56;0;0;"O depois kkkk ";;;#ironia;"870640204167741441";https://twitter.com/EsthefaneCF/status/870640204167741441
maxcrh;2017-06-02 09:19;0;2;"Relaxa mano... Temos o Wellington Nem... vaispfc ";;;#vaispfc #ironia;"870631055182770176";https://twitter.com/maxcrh/status/870631055182770176
CobalionHK;2017-06-02 00:14;0;0;"eu deveria ter colocar  no tweet";;;#ironia;"870493896706465792";https://twitter.com/CobalionHK/status/870493896706465792
AdrianaGPaz1;2017-06-01 22:59;0;0;"Tu pensa que a pessoa é legal.Daí passa esta imagem e tu fica com fome.Não tem como resolver.A pessoa NÃO é legal. ";;;#Ironia;"870475049832263680";https://twitter.com/AdrianaGPaz1/status/870475049832263680
AdrianaGPaz1;2017-06-01 22:56;0;1;"Percebo";;;#Ironia;"870474239408828417";https://twitter.com/AdrianaGPaz1/status/870474239408828417
jflml;2017-06-01 22:46;0;1;" Diogo Barbosa arremessou um copo de água mineral isso foi uma tentativa de assassinato ";;@Jader76Rocha;#ironia;"870471580811501568";https://twitter.com/jflml/status/870471580811501568
jflml;2017-06-01 22:42;0;0;" Diogo Barbosa arremessou um copo de água mineral isso foi uma tentativa de assassinato ";;@RicardoRocha94;#ironia;"870470635767689216";https://twitter.com/jflml/status/870470635767689216
GUTOcesarA;2017-06-01 21:40;0;0;"Sera q a super  _PT vai tirar o oriente da competição e dar o titulo para o Deportivo ";;@CONMEBOL @CONMEBOL_PT;#ironia;"870455055698317312";https://twitter.com/GUTOcesarA/status/870455055698317312
sefodeaisorin;2017-06-01 21:37;0;0;"ARBITR ROUBANDO PRO CRUZEIRO CONTRA A CHAPE, JA VI QUE TEREMOS UMA COLETIVA ENFEZADA DO MANO MENEZES ";;;#IRONIA;"870454285267611648";https://twitter.com/sefodeaisorin/status/870454285267611648
sofiajacintoo;2017-06-01 17:19;0;1;"num dia tou no twitter da catarina, no outro tou no tesouros tuga, e tudo por ter levado no cu e me doer? opah :(( ";;;#ironia;"870389440031711236";https://twitter.com/sofiajacintoo/status/870389440031711236
edimania001;2017-06-01 14:20;0;0;"Dúvida do furão: Se maio foi o mês AMARELO, não deveria ter sido o mês do YELLOW KID? Yellow Amarelo MaioAmarelo YellowKid  ";;;#Yellow #Amarelo #MaioAmarelo #YellowKid #ironia;"870344209412354049";https://twitter.com/edimania001/status/870344209412354049
henriqerocha;2017-06-01 14:15;0;0;"NÃO!11 NÃO MEXE COM MEU SHADOW OF MORDOR, COM MEU SMEAGLE, COM MEU SAURON  ";;;#ironia;"870343057308356609";https://twitter.com/henriqerocha/status/870343057308356609
concdan;2017-06-01 12:25;0;0;"Pra que estudar? Jovem é preso se passando por médico e diz que é ‘formado’ por série Grey’s Anatomy  ";;;#ironia;"870315385081483265";https://twitter.com/concdan/status/870315385081483265
Migueluis;2017-06-01 06:20;0;3;"Coitadinhos... nenhum Mestre ou Prof. Dr.? O que esperam aprender?  IMSHARECONF filadafrente";;;#ironia #IMSHARECONF #filadafrentepic;"870223568562421760";https://twitter.com/Migueluis/status/870223568562421760
edeleite;2017-05-31 22:05;0;0;"Então eu tb já posso ser ministro. Tb tenho experiência suficiente pra ser Machado de Assis, Picasso, Schumacher, Mozart...  ";;;#ironia;"870098959309705216";https://twitter.com/edeleite/status/870098959309705216
AdrianaGPaz1;2017-05-31 21:59;0;0;"Percebo ";;;#Ironia;"870097325397508097";https://twitter.com/AdrianaGPaz1/status/870097325397508097
Giuseppecorreia;2017-05-31 20:25;0;0;"Ok... 30 minutos depois e nada ... Obrigado Samsung Notebook excelente Irônia NumQueroMais VontadeDe... FinalizarODia NadaProdutivo";;;#Samsung #Ir #NumQueroMais #VontadeDe #FinalizarODia #NadaProdutivo;"870073698224660481";https://twitter.com/Giuseppecorreia/status/870073698224660481
gentile_mari;2017-05-31 18:06;0;0;"-Hai presente?-No e  manco tanto futuro -cit instagood instagram sorriso  tags… ";;;#instagood #instagram #sorriso #ironia #tags;"870038770078371840";https://twitter.com/gentile_mari/status/870038770078371840
allafh_panda;2017-05-31 16:27;0;0;"Falou a q dois dias dps da gente terminar foi p carnaval namorando ";;;#ironia;"870014002385911808";https://twitter.com/allafh_panda/status/870014002385911808
marcosmoura21;2017-05-31 15:28;0;1;"Tu já tinha metido aquela foto do Jairzinhozinho com o Renato... Tu é um anti-Botafogo nato.  muitaironia";;;#ironia #muitaironia;"869998929915645952";https://twitter.com/marcosmoura21/status/869998929915645952
jam_millle;2017-05-31 12:48;0;5;"Quem se importa com constituição né? um troço que só atrapalha mesmo.. aliás pq eleição? Coloca logo o lula, o Ciro.  ";;;#ironia;"869958752157519876";https://twitter.com/jam_millle/status/869958752157519876
Gustavpiriquito;2017-05-31 09:07;0;0;"Quem adulterou o documento cometeu adultério??? ";;;#ironia;"869903174726975488";https://twitter.com/Gustavpiriquito/status/869903174726975488
mgmarrone;2017-05-31 05:45;0;0;"Ana. Quantas vezes já avisamos para colocar aviso de ironia.  nemtodosentendem ";;;#ironia #nemtodosentendem;"869852337581543424";https://twitter.com/mgmarrone/status/869852337581543424
Cleber_PsMg;2017-05-30 23:44;0;0;"Agora A MAIOR  É NÃO Ver Cor Vermelha nos Brincalhões de Estimação dos Coxinhas Trouxinhas.Todos de Azul a COR do PSDB, 45.";;;#Ironia #Cor #Vermelha #Coxinhas #Trouxinhas #Azul #COR #PSDB;"869761578677219329";https://twitter.com/Cleber_PsMg/status/869761578677219329
Cleber_PsMg;2017-05-30 22:50;2;0;"kkkkkSó  no MSN de hoje.Em Portugal, Moro fala de “anseio da sociedade brasileira por um país mais limpo” ";;;#Ironia;"869747831845912576";https://twitter.com/Cleber_PsMg/status/869747831845912576
Cleber_PsMg;2017-05-30 22:48;0;1;"Mais UMA Jucá no ConselhoDeÉTica no BrazilMAIS do que IrônicoÉ HilárioGanhou do Palhaço Tiririca";;;#Ironia #Juc #ConselhoDe #Brazil #Ir #Hil #Palha #Tiriricahttp;"869747281309966336";https://twitter.com/Cleber_PsMg/status/869747281309966336
Cleber_PsMg;2017-05-30 22:32;0;0;"É simplesmente  ter um Senador Irônico.Foi ironia, afirma Perrella sobre dizer a Aécio que trafica droga";;;#Ironia #Senador #Ir;"869743348474675200";https://twitter.com/Cleber_PsMg/status/869743348474675200
minerobrazao;2017-05-30 21:05;0;0;"Pelos emojis do perfil da Portela, o enredo será- Família Grael OU- Hopi Hari OU - ChavesNão deve sair muito disso não ";;;#ironia;"869721429721444352";https://twitter.com/minerobrazao/status/869721429721444352
rosebrgomes1;2017-05-30 18:26;0;0;"Que baita governador!! ";;;#ironia;"869681531828174849";https://twitter.com/rosebrgomes1/status/869681531828174849
rosaneoliveira;2017-05-30 17:07;11;60;"Prometo usar  quando fizer uma. Quando digo que aposentar o juiz que sumiu com processos contra ele é punição exemplar é .";;;#ironia #ironia;"869661536373133316";https://twitter.com/rosaneoliveira/status/869661536373133316
rosaneoliveira;2017-05-30 17:06;2;20;"Desculpe. Faltou a hashtag: . Achei que não precisava. ";;;#ironia;"869661193656553472";https://twitter.com/rosaneoliveira/status/869661193656553472
hoyasolo;2017-05-30 16:19;0;0;"a guria dando rt em hoya pics mas n me deu follow back olha a ";;;#ironia;"869649581667233796";https://twitter.com/hoyasolo/status/869649581667233796
vinicius140;2017-05-30 15:02;0;0;"Os 30 jovens mais decepcionantes com menos de 30 via   épiada";;@newyorker;#ironia #;"869630098823106561";https://twitter.com/vinicius140/status/869630098823106561
MarceloJGonca;2017-05-30 13:20;9;10;"Mas a lista de Furnas não é falsa? Bolsonaro está nela também. ";;;#ironia;"869604379053219841";https://twitter.com/MarceloJGonca/status/869604379053219841
RMCholewa;2017-05-30 13:16;1;0;"Nossa! Não tinha percebido!  Como os tentáculos do Facebook alcançam mais longe do que você imagina ";;;#ironia;"869603313771270144";https://twitter.com/RMCholewa/status/869603313771270144
antoniopersonal;2017-05-30 11:08;0;0;"??? História hj n é obrigatório no ensino médio! Então nem é tão importante assim saber quem é Don Pedro! ";;;#Ironia;"869571192109367300";https://twitter.com/antoniopersonal/status/869571192109367300
lu_audrey;2017-05-30 08:53;0;0;"Se tiverem assessores tuiteiros vão alegar  ";;;#ironia;"869537156418744320";https://twitter.com/lu_audrey/status/869537156418744320
wiillmoraiis;2017-05-29 22:50;0;0;"Branco correndo e ATLETA! Preto é LADRÃO IRÔNIA — se sentindo sarcástico";;;#IR;"869385397595496448";https://twitter.com/wiillmoraiis/status/869385397595496448
jiminieart;2017-05-29 21:47;0;1;" minha família tem tanta consideração por mim que até me surpreendo ";;;#ironia #ironia;"869369595072831488";https://twitter.com/jiminieart/status/869369595072831488
dztricolor;2017-05-29 21:34;0;0;"Linha3 Fosse o Ceni seria uma crise sem fim, Cuca não, afinal foram erros isolados de Prass e Jean  Ceni4Ever";;;#Linha3 #ironia #Ceni4Ever;"869366436065669120";https://twitter.com/dztricolor/status/869366436065669120
BruGoncalves96;2017-05-29 20:17;0;1;"Sabe o que é bom pra ânsia o comunismo pergunte a qualquer Cubano, concordo quem defende os valores e família são lixo né Marx kkk ";;;#Marx #ironia;"869347011836993536";https://twitter.com/BruGoncalves96/status/869347011836993536
tarcilamaia;2017-05-29 19:31;0;8;"Parabéns ao STJ por ir de encontro à jurisprudência da CIDH e permitir a continuidade de processos penais tão importantes! sqn  ";;;#sqn #ironia;"869335417346240512";https://twitter.com/tarcilamaia/status/869335417346240512
